miRNA	0_CAD_10.10.Plume	0_CAD_11K2	0_CAD_12K1	0_CAD_12K2	0_CAD_12K3	0_CAD_16.11.K1	0_CAD_16.11.K2	0_CAD_18K1	0_CAD_20K1	0_CAD_20K2	0_CAD_22.11.K2	0_CAD_22.11.K3	0_CAD_23.11.K1	0_CAD_23K1	0_CAD_24K1	0_CAD_25K1	0_CAD_26K1	0_CAD_27K2	0_CAD_27K3	0_CAD_27K5	0_CAD_27K7	0_CAD_2K1	0_CAD_2K4	0_CAD_31K4	0_CAD_KGKONTR16	0_CAD_KGKONTR17	0_CAD_KGKONTR23	0_CAD_KGKONTR39	0_CAD_KGKONTR42	1_CAD_KG07	1_CAD_KG10	1_CAD_KG11	1_CAD_KG12	1_CAD_KG13	1_CAD_KG14	1_CAD_KG15	1_CAD_KG16	1_CAD_KG17	1_CAD_KG18	1_CAD_KG19	1_CAD_KG20	1_CAD_KG21	1_CAD_KG22	1_CAD_KG23	1_CAD_KG24	1_CAD_KG25	1_CAD_KG26	1_CAD_KG27	1_CAD_KG30	1_CAD_KG31	1_CAD_KG32	1_CAD_KG34	1_CAD_KG35	1_CAD_KG36	1_CAD_KG37	1_CAD_KG38	1_CAD_KG39	1_CAD_KG40	1_CAD_KG41	1_CAD_KG42	1_CAD_KG43	1_CAD_KG44	1_CAD_KG45	1_CAD_KG47	1_CAD_KG48	1_CAD_KG49	1_CAD_KG50	1_CAD_KG51	1_CAD_KG52	1_CAD_KG53	1_CAD_KG54	1_CAD_KG55	1_CAD_KG57	1_CAD_KG58	1_CAD_KG59	1_CAD_KG60	1_CAD_KG61	1_CAD_KG62	1_CAD_KG63	1_CAD_KG64	1_CAD_KG65	1_CAD_KG66	1_CAD_KG67	1_CAD_KG68	1_CAD_KG69	1_CAD_KG70	1_CAD_KG71	1_CAD_KG72	1_CAD_KG73	1_CAD_KG74	1_CAD_KG75	1_CAD_KG76	1_CAD_KG77	1_CAD_KG78	1_CAD_KG79	1_CAD_KG80	1_CAD_KG81	1_CAD_KG83	1_CAD_KG84	1_CAD_KG85	1_CAD_KG86	1_CAD_KG87	1_CAD_KG89	1_CAD_KG91	1_CAD_KG92	1_CAD_KG93	1_CAD_KG94	1_CAD_KG95	1_CAD_KG96	2_CAD_KP0261	2_CAD_KP0271	2_CAD_KP0281	2_CAD_KP0321	2_CAD_KP0331	2_CAD_KP0361	2_CAD_KP0371	2_CAD_KP0381	2_CAD_KP0391	2_CAD_KP0411	2_CAD_KP052	2_CAD_KP053	2_CAD_KP054	2_CAD_KP055	2_CAD_KP056	2_CAD_KP057	2_CAD_KP058	2_CAD_KP060	2_CAD_KP061	2_CAD_KP062	2_CAD_KP063	2_CAD_KP064	2_CAD_KP065	2_CAD_KP066	2_CAD_KP074	2_CAD_KP075	2_CAD_KP076	2_CAD_KP079
hsa-let-7a-2-3p	1263.59225	511.40000	666.32875	2482.24960	0.00000	7439.51206	2504.50000	0.00000	416.60600	3218.02658	530.45106	3864.55915	0.00000	0.00000	0.00000	147.67405	0.00000	1151.72975	6274.71871	0.00000	1381.35585	527.26003	173.67641	0.00000	983.40000	0.00000	229.13932	0.00000	123.31399	340.70000	77.38313	28252.56147	0.00000	0.00000	0.00000	0.00000	590.70644	2587.32006	517.25625	9457.44843	0.00000	85.88807	0.00000	0.00000	0.00000	2184.15477	0.00000	0.00000	29.10546	15	238.21414	57.40000	0.00000	0.00000	0.00000	0.00000	0.00000	398.29587	0.00000	483.79432	0.00000	199.74494	262.80375	758.39890	829.97494	257.38156	31.70000	62.20623	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	332.60844	141.70000	112.90000	16.19685	1109.43868	262.11593	0.00000	137.30000	0.00000	0.00000	0.00000	1285.22905	1522.14276	0.00000	524.34529	0.00000	0.00000	0.00000	92.17451	317.20233	165.49354	501.00000	0.00000	0.00000	0.00000	0.00000	0.00000	957.83109	0.00000	243.20000	0.00000	774.61685	0.00000	0.00000	0.00000	0.00000	23.20000	739.96068	26.10000	1202.88952	0.00000	602.78281	0.00000	0.00000	0.00000	9.70000	0.00000	0.00000	0.00000	27.59230	55.30000	76.40000	60	0.90000	0.00000	0.00000	25.40000	0.00000	21.30000	0.00000	136.18371	661.28210	53.85865
hsa-let-7a-3p	0.00000	205.80000	0.00000	2067.98980	0.00000	15067.90762	2152.80000	0.00000	299.61304	0.00000	368.38990	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	5720.14040	2810.59529	302.97640	2052.44397	0.00000	0.00000	517.48025	0.00000	281.93498	73.61373	312.71934	298.19436	292.80000	0.00000	771.94900	1793.92246	0.00000	0.00000	2451.83908	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	4493.18830	0.00000	0.00000	197.40466	26	0.00000	322.50000	471.75522	0.00000	979.36122	746.90000	543.07410	203.86138	0.00000	459.51196	0.00000	319.17770	0.00000	0.00000	234.98028	23.03887	268.70000	0.00000	0.00000	0.00000	9.10816	0.00000	0.00000	325.25167	0.00000	0.00000	58.00000	0.00000	597.59489	165.19916	0.00000	0.00000	1114.23925	698.33631	0.00000	0.00000	0.00000	0.00000	13.76431	0.00000	1256.85099	0.00000	0.00000	0.00000	6.02854	0.00000	0.00000	713.00000	0.00000	0.00000	533.77226	0.00000	0.00000	231.70000	699.00000	17.00744	0.00000	686.30000	0.00000	0.00000	31.10000	0.00000	29.90000	693.11495	101.50000	986.07409	0.00000	75.39668	32.28293	0.00000	145.60000	0.00000	0.00000	0.00000	0.00000	89.40000	0	16.50000	33.47519	0.00000	0.00000	24.85255	60.60000	0.00000	171.05421	950.04974	0.00000
hsa-let-7a-5p	0.00000	0.00000	0.00000	1400.30827	488.88843	13611.86443	0.00000	3622.64367	521.97273	3790.78552	245.14091	4653.96007	0.00000	2224.60446	0.00000	1251.10157	0.00000	4351.09103	2159.65041	0.00000	1483.90115	316.60425	0.00000	0.00000	0.00000	0.00000	223.09842	0.00000	179.28795	59.50000	2226.56464	0.00000	2385.92693	0.00000	0.00000	4312.74151	283.68086	298.00888	2519.03600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2548.54872	0.00000	0.00000	50.89345	13	0.00000	332.70000	0.00000	0.00000	1181.20493	0.00000	0.00000	0.00000	131.90000	1094.49942	0.00000	545.99912	87.34679	7.72030	267.35429	0.00000	259.10000	0.00000	0.00000	36.67722	0.00000	0.00000	0.00000	0.00000	301.76154	187.80000	102.40000	81.65853	1389.74055	280.52761	116.58136	0.00000	4150.52536	595.84759	0.00000	835.81044	0.00000	0.00000	623.03942	0.00000	752.30376	0.00000	0.00000	152.72061	51.92881	1032.90000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	311.20000	661.10000	0.00000	169.80000	97.30000	507.10000	31.60000	20.00000	269.48490	10.60000	294.09034	0.00000	0.00000	45.00000	61.16217	0.00000	0.00000	122.40000	335.90000	0.00000	0.00000	29.20000	30.40000	0	9.50000	38.40564	0.00000	0.00000	40.22059	0.00000	0.00000	0.00000	610.49165	38.89413
hsa-let-7b-3p	0.00000	0.00000	2150.46847	0.00000	0.00000	0.00000	805.10000	0.00000	0.00000	230.81573	525.24356	0.00000	0.00000	0.00000	0.00000	1158.51540	8569.00457	0.00000	2318.32023	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	321.38201	192.29869	0.00000	0.00000	164.20000	169.92433	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	266.21858	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	340.18463	0.00000	0.00000	228.29102	27	0.00000	436.60000	454.59498	0.00000	0.00000	0.00000	0.00000	733.72031	0.00000	775.32568	0.00000	401.73097	0.00000	0.00000	666.09935	147.23691	115.00000	0.00000	0.00000	0.00000	0.00000	0.00000	208.60000	0.00000	0.00000	0.00000	125.80000	0.00000	1371.43289	356.68727	0.00000	93.60000	3986.91765	227.63666	72.60086	0.00000	979.39525	85.50495	432.24931	220.03293	5432.65883	1943.74557	0.00000	0.00000	181.10368	753.60000	0.00000	192.90000	0.00000	0.00000	898.97978	871.67669	0.00000	0.00000	639.50000	0.00000	0.00000	660.40000	2774.80000	0.00000	17.60000	0.00000	20.20000	214.01361	0.00000	0.00000	27.70000	6.92243	25.18567	0.00000	105.00000	115.50000	0.00000	83.81673	68.70000	107.50000	0	0.00000	19.55340	0.00000	0.00000	0.00000	0.00000	0.00000	27.44592	0.00000	2702.96826
hsa-let-7b-5p	0.00000	0.00000	0.00000	55801.31992	133.01214	12362.15768	0.00000	2710.22959	406.23641	0.00000	0.00000	2597.66764	0.00000	0.00000	616.71144	1302.34317	3738.89440	1817.97583	3298.05490	0.00000	402.55475	25.76079	683.43195	0.00000	0.00000	651.13836	377.28641	979.33002	0.00000	6.50000	0.00000	303.99607	0.00000	1686.96336	0.00000	0.00000	0.00000	1365.28058	1934.97066	0.00000	0.00000	0.00000	2007.51362	0.00000	535.71406	1397.25315	141.20227	0.00000	49.04375	0	0.00000	0.00000	0.00000	253.37617	1601.05670	0.00000	0.00000	0.00000	0.00000	326.01408	0.00000	215.42893	0.00000	0.00000	943.02727	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	4377.10000	0.00000	176.18267	0.00000	66.60000	0.00000	18106.78349	0.00000	0.00000	0.00000	870.92704	424.66399	0.00000	0.00000	752.68840	99.75026	655.66488	0.00000	906.83530	0.00000	551.93725	0.00000	0.00000	0.00000	0.00000	266.30000	329.40070	0.00000	0.00000	523.62941	0.00000	431.60000	0.00000	858.01305	0.00000	672.00000	0.00000	38.20000	10.10000	612.25903	17.80000	0.00000	189.30000	1172.07115	25.80000	23.27980	12.29119	0.00000	56.90000	143.00000	0.00000	7.43992	0.00000	74.10000	0	0.00000	11.90641	17.45509	0.00000	0.00000	0.00000	0.00000	17.34393	852.11115	112.01721
hsa-let-7c-3p	0.00000	97.30000	0.00000	2412.97694	0.00000	0.00000	1982.00000	41072.60136	441.17585	0.00000	1054.64541	0.00000	0.00000	760.95976	0.00000	0.00000	0.00000	0.00000	5807.81458	0.00000	0.00000	71.39018	0.00000	2644.31936	320.90000	0.00000	190.96448	0.00000	80.90523	247.90000	0.00000	501.03922	0.00000	6062.23460	0.00000	4191.42291	0.00000	2353.88914	0.00000	0.00000	434.52155	312.70460	0.00000	0.00000	0.00000	2786.49447	462.67542	63.80000	0.00000	0	0.00000	330.40000	188.75825	0.00000	33.61481	441.60000	15311.12459	0.00000	0.00000	0.00000	0.00000	257.13430	0.00000	0.00000	182.69184	263.25484	236.50000	0.00000	159.10000	0.00000	0.00000	87.50000	0.00000	0.00000	90.24748	314.70000	0.00000	0.00000	1186.43751	141.28509	289.64161	0.00000	0.00000	980.46729	422.11375	0.00000	1270.15723	50.79275	363.85044	0.00000	749.63704	736.87838	528.81672	0.00000	199.81196	0.00000	0.00000	375.10000	0.00000	0.00000	745.04675	0.00000	0.00000	0.00000	510.20000	0.00000	0.00000	48.60000	837.30000	6.30000	0.00000	592.95186	26.70000	766.15980	101.50000	0.00000	0.00000	20.79061	36.48280	0.00000	141.70000	70.80000	24.90000	23.77008	46.50000	63.10000	0	0.00000	7.58239	0.00000	22.20000	16.69514	0.00000	17.37177	302.04334	526.22412	14.98701
hsa-let-7c-5p	0.00000	0.00000	0.00000	2462.30105	879.57537	22371.77080	1647.00000	6549.51085	205.32387	0.00000	275.00488	5707.33994	3421.33081	0.00000	0.00000	0.00000	0.00000	1394.03838	3177.42476	0.00000	1825.84778	753.12278	2064.22859	1097.69679	0.00000	8.63467	437.86234	0.00000	0.00000	0.00000	0.00000	0.00000	1544.02488	0.00000	0.00000	4529.77598	1538.88955	201.44578	1105.23635	1000.39588	369.55313	1067.29011	2133.95241	0.00000	0.00000	3606.21136	0.00000	0.00000	19.90658	24	335.26525	236.00000	0.00000	0.00000	1296.28096	659.10000	0.00000	0.00000	60.70000	636.75967	0.00000	460.85468	0.00000	0.00000	355.51560	0.00000	0.00000	0.00000	0.00000	0.00000	122.85718	0.00000	0.00000	102.68432	475.07333	222.60000	86.70000	0.00000	335.66963	224.40111	505.35351	0.00000	2811.92583	629.38552	0.00000	0.00000	395.79317	0.00000	53.63618	183.95040	239.77854	0.00000	127.21151	786.40963	233.78250	0.00000	0.00000	5249.20000	543.90576	0.00000	0.00000	854.09131	0.00000	0.00000	395.30000	0.00000	0.00000	0.00000	0.00000	0.00000	2.20000	473.35772	30.40000	0.00000	0.00000	20.41285	0.00000	18.50780	6.80575	1.00000	7.50000	85.40000	0.00000	15.28503	1.50000	28.90000	0	0.00000	24.03259	0.00000	0.00000	0.00000	33.50000	0.00000	339.70835	638.15568	54.37628
hsa-let-7d-3p	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2319.60000	321.27523	224.73205	0.00000	1009.67268	5052.84875	0.00000	1279.15553	8.00378	185.15894	0.00000	0.00000	798.91721	0.00000	2380.49007	0.00000	0.00000	3013.62573	583.00000	0.00000	122.01441	198.73800	65.37983	0.00000	79.61086	0.00000	0.00000	0.00000	0.00000	1067.76698	0.00000	763.29537	95.26207	0.00000	3832.64688	0.00000	29725.26271	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	24	0.00000	310.30000	0.00000	0.00000	1236.19798	586.40000	0.00000	50.50093	0.00000	545.29720	0.00000	664.30553	0.00000	0.00000	0.00000	0.00000	233.50000	0.00000	60.10000	0.00000	0.00000	74.30000	263.90000	48.21258	15.30763	1960.70000	24.10000	0.00000	9185.06180	0.00000	0.00000	0.00000	0.00000	392.76347	0.00000	0.00000	608.10907	0.00000	0.00000	0.00000	916.14578	1222.78717	14362.16203	0.00000	231.80334	622.30000	0.00000	326.90000	0.00000	0.00000	179.89574	1000.84818	0.00000	162.90000	764.70000	0.00000	0.00000	0.00000	173.20000	44.40000	34.90000	0.00000	11.90000	1493.43670	51.50000	0.00000	26.30000	0.00000	0.00000	7.20000	112.40000	56.70000	19.00000	2.24862	0.00000	81.80000	0	24.40000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	249.46618	459.34885	726.74417
hsa-let-7d-5p	0.00000	0.00000	1385.29827	1636.92395	1503.12900	18970.02335	2721.70000	0.00000	566.64161	0.00000	0.00000	0.00000	0.00000	1646.11463	0.00000	436.71610	4025.00220	3675.19912	0.00000	0.00000	1553.94037	0.00000	235.63508	6156.20299	0.00000	121.31062	0.00000	425.29635	204.89203	333.40000	0.00000	2134.00526	0.00000	0.00000	0.00000	2554.01722	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1168.29998	0.00000	102.97921	0.00000	0.00000	0.00000	83.89212	9	0.00000	188.50000	0.00000	0.00000	0.00000	0.00000	0.00000	658.43952	0.00000	0.00000	48.20000	0.00000	0.00000	0.00000	728.97543	0.00000	0.00000	0.00000	0.00000	12600.84979	166.47592	0.00000	0.00000	495.07531	457.75199	0.00000	0.00000	0.00000	1017.37610	386.84065	188.37102	0.00000	0.00000	368.59986	212.82949	84.00149	0.00000	0.00000	61.64666	0.00000	0.00000	0.00000	0.00000	408.16151	152.69451	144.70000	0.00000	712.50000	0.00000	157.22064	0.00000	1164.91526	0.00000	0.00000	188.00000	453.28534	0.00000	670.30000	0.00000	61.30000	0.00000	435.33544	14.70000	1118.08124	0.00000	1593.94883	0.00000	0.00000	0.00000	0.00000	0.00000	42.10000	10.50000	0.00000	11.50000	57.80000	0	0.00000	33.80035	0.00000	0.00000	0.00000	28.10000	300.78270	59.43128	1082.38076	89.73179
hsa-let-7e-3p	0.00000	0.00000	0.00000	1724.44113	0.00000	16632.57683	1775.30000	2572.90267	53.29590	0.00000	194.51342	3305.06952	1749.55178	0.00000	0.00000	2.48235	8426.69398	1656.60417	3699.54085	0.00000	0.00000	580.56969	0.00000	6839.09784	0.00000	0.00000	32716.17132	0.00000	0.00000	11.20000	0.00000	1486.74097	1535.08260	0.00000	0.00000	52366.07990	1728.48649	2947.62300	0.00000	2745.50199	0.00000	116.58994	971.89320	0.00000	0.00000	1048.66054	0.00000	0.00000	171.96388	13	0.00000	230.90000	0.00000	0.00000	0.00000	0.00000	589.04233	985.21859	143.70000	781.75251	0.00000	414.49080	0.00000	0.00000	817.29375	0.00000	0.00000	259.13378	0.00000	0.00000	0.00000	0.00000	47.50000	97.33432	89.22898	199.00000	165.10000	0.00000	728.68462	84.22228	0.00000	10.10000	1909.26111	567.90578	0.00000	0.00000	1567.78381	0.00000	0.00000	0.00000	1408.50591	0.00000	0.00000	0.00000	10.65413	0.00000	0.00000	889.30000	313.87099	0.00000	0.00000	459.21814	0.00000	0.00000	209.80000	485.73915	0.00000	6685.40000	0.00000	0.00000	41.40000	442.92545	27.90000	741.40321	0.00000	1232.49413	9.10000	1.70906	0.00000	18.50000	69.20000	111.80000	0.00000	26.87836	0.00000	101.80000	0	0.00000	36.88091	0.00000	4.40000	8.08626	52.40000	0.00000	56.64144	287.01293	42.24547
