Feature,MeanDecreaseGini
hsa-miR-17-3p,0.8009899629045383
hsa-miR-423-5p,0.7922941160846357
hsa-miR-625-5p,0.7787504114112691
hsa-miR-625-3p,0.7761408095338722
hsa-miR-142-5p,0.7198659101875964
hsa-miR-183-3p,0.622526258607092
hsa-miR-10b-5p,0.6103421582444349
hsa-miR-376a-3p,0.583026255766086
hsa-miR-30e-5p,0.5687609399711566
hsa-miR-23b-3p,0.5622231115422442
hsa-miR-10a-5p,0.5506987122824456
hsa-miR-320b,0.5442422067356397
hsa-miR-6803-3p,0.5301550423969302
hsa-miR-486-3p,0.5216250601230236
hsa-miR-16-2-3p,0.5017254929254017
hsa-miR-126-3p,0.4445383596892513
hsa-miR-497-5p,0.43009050041641106
hsa-miR-11400,0.4084662863712686
hsa-miR-182-5p,0.4017852739215308
hsa-miR-1287-5p,0.35074104946103013
hsa-miR-320a-3p,0.31924575950748585
hsa-miR-1303,0.30710672451674875
hsa-miR-324-5p,0.245521179141538
hsa-miR-3613-5p,0.1820737888463754
hsa-miR-18b-5p,0.086994947391227
