GeneID	MedianGroup0	MedianGroup1	MedianGroup2
hsa-let-7a-3p	0.0	13.5	0.0
hsa-let-7a-5p	433572.0	32603.33333333335	5154.166666666665
hsa-let-7b-3p	12.0	121.0	32.0
hsa-let-7b-5p	1019685.0	33973.0	2235.0
hsa-let-7c-5p	11461.0	703.0	311.5
hsa-let-7d-3p	303.0	4401.0	965.0
hsa-let-7d-5p	35751.0	1711.0	116.0
hsa-let-7e-5p	3954.0	355.0	110.0
hsa-let-7f-5p	123831.0	19482.5	2267.5
hsa-let-7g-5p	208053.0	16551.5	1248.0
hsa-let-7i-5p	182480.0	16950.0	1558.0
hsa-miR-1-3p	146.0	3.5	0.0
hsa-miR-100-5p	43.0	242.5	63.0
hsa-miR-101-3p	639.5	3104.0	128.0
hsa-miR-10399-5p	16.0	0.0	0.0
hsa-miR-103a-3p	17914.0	2419.0	332.25
hsa-miR-10527-5p	33.0	2.5	0.0
hsa-miR-106b-3p	77.0	753.0	0.0
hsa-miR-106b-5p	318.0	327.0	0.0
hsa-miR-107	13580.0	1298.0	175.0
hsa-miR-10a-5p	2579.0	2832.0	1492.5
hsa-miR-10b-5p	1427.0	4838.0	3253.5
hsa-miR-11400	31.0	0.0	0.0
hsa-miR-1180-3p	386.0	61.5	0.0
hsa-miR-122-5p	219616.0	58722.5	8375.0
hsa-miR-1224-5p	67.0	0.0	0.0
hsa-miR-1246	336.0	91.0	0.0
hsa-miR-1255b-5p	232.0	30.0	0.0
hsa-miR-125a-3p	34.0	0.0	0.0
hsa-miR-125a-5p	600.0	2223.5	763.0
hsa-miR-125b-5p	134.0	414.0	170.0
hsa-miR-126-3p	84041.0	5257.0	2019.0
hsa-miR-126-5p	41735.0	322.0	78.5
hsa-miR-1260a	0.0	318.0	26.5
hsa-miR-1260b	1.0	251.5	20.5
hsa-miR-1270	50.0	0.0	0.0
hsa-miR-128-3p	394.0	794.0	58.0
hsa-miR-1285-3p	45.0	0.0	0.0
hsa-miR-1287-5p	25.0	0.0	0.0
hsa-miR-129-5p	19.0	0.0	0.0
hsa-miR-1290	333.0	1.0	0.0
hsa-miR-1292-5p	119.0	0.0	0.0
hsa-miR-1294	784.0	36.0	0.0
hsa-miR-1301-3p	227.0	70.0	0.0
hsa-miR-1303	42.0	0.0	0.0
hsa-miR-1304-3p	35.0	0.0	0.0
hsa-miR-1306-5p	160.0	125.0	0.0
hsa-miR-1307-3p	363.0	0.0	0.0
hsa-miR-130a-3p	7297.0	136.5	1.0
hsa-miR-130b-3p	2206.0	148.5	10.5
hsa-miR-130b-5p	0.0	107.5	0.0
hsa-miR-139-3p	475.0	2.5	0.0
hsa-miR-139-5p	2728.0	179.5	97.0
hsa-miR-140-3p	302.0	2106.5	96.0
hsa-miR-140-5p	48.0	0.0	0.0
hsa-miR-141-3p	10.0	0.0	0.0
hsa-miR-142-3p	767.0	0.0	0.0
hsa-miR-142-5p	16644.0	8529.0	326.0
hsa-miR-143-3p	7669.0	6379.0	607.5
hsa-miR-144-3p	17330.0	569.5	42.0
hsa-miR-144-5p	0.0	368.5	0.5
hsa-miR-145-3p	18.0	22.0	0.0
hsa-miR-145-5p	18.0	0.0	0.0
hsa-miR-146a-5p	249.0	2540.5	301.0
hsa-miR-146b-5p	96.0	491.5	71.5
hsa-miR-148a-3p	28.0	2549.5	374.5
hsa-miR-148b-3p	21.0	535.0	54.5
hsa-miR-150-3p	23.0	47.5	2.0
hsa-miR-150-5p	643.0	2178.0	467.5
hsa-miR-151a-3p	1832.0	1877.5	226.5
hsa-miR-151a-5p	17728.0	1071.5	117.0
hsa-miR-151b	11478.5	1011.5	99.0
hsa-miR-155-5p	564.0	94.5	46.0
hsa-miR-15a-5p	5379.0	380.5	82.0
hsa-miR-15b-3p	137.0	83.5	0.0
hsa-miR-15b-5p	8482.0	1626.0	257.0
hsa-miR-16-2-3p	42.0	2237.5	73.0
hsa-miR-16-5p	1604001.5	58810.0	890.5
hsa-miR-17-3p	55.0	0.0	0.0
hsa-miR-17-5p	462.0	81.5	0.0
hsa-miR-181a-2-3p	114.0	104.0	0.0
hsa-miR-181a-3p	14.0	0.0	0.0
hsa-miR-181a-5p	1014.0	1434.5	302.0
hsa-miR-181b-5p	308.0	98.0	13.5
hsa-miR-182-5p	1512.0	3292.0	94.5
hsa-miR-183-3p	59.0	0.0	0.0
hsa-miR-183-5p	627.0	2350.5	62.5
hsa-miR-1843	68.0	0.0	0.0
hsa-miR-184	0.0	134.0	110.5
hsa-miR-185-5p	26908.0	2416.0	70.0
hsa-miR-186-5p	485.0	1126.5	55.5
hsa-miR-18a-3p	0.0	47.5	0.0
hsa-miR-18a-5p	146.0	24.0	0.0
hsa-miR-18b-5p	19.0	0.0	0.0
hsa-miR-1908-5p	541.0	0.0	0.0
hsa-miR-191-3p	37.0	0.0	0.0
hsa-miR-191-5p	13168.0	4599.5	582.5
hsa-miR-192-5p	256.0	1123.5	9.5
hsa-miR-193a-5p	1281.0	270.0	0.0
hsa-miR-193b-5p	308.0	23.0	0.0
hsa-miR-194-5p	153.0	283.75	13.25
hsa-miR-195-5p	225.0	10.0	0.0
hsa-miR-196b-5p	100.0	0.0	0.0
hsa-miR-197-3p	180.0	424.5	39.0
hsa-miR-197-5p	25.0	0.0	0.0
hsa-miR-199a-3p	807.0	535.0	127.5
hsa-miR-199b-3p	807.0	535.0	127.5
hsa-miR-19b-3p	15.0	65.5	0.0
hsa-miR-200c-3p	40.0	0.0	0.0
hsa-miR-206	327.0	0.0	0.0
hsa-miR-20a-5p	3140.0	131.5	0.0
hsa-miR-20b-5p	3170.0	1.0	0.0
hsa-miR-21-5p	4369.0	17472.5	2648.0
hsa-miR-210-3p	156.0	0.0	0.0
hsa-miR-2110	791.0	244.0	0.0
hsa-miR-215-5p	1.0	86.0	0.0
hsa-miR-22-3p	1202.0	9845.0	975.0
hsa-miR-22-5p	57.0	0.0	0.0
hsa-miR-221-3p	406.0	516.5	71.0
hsa-miR-222-3p	4.0	673.5	53.5
hsa-miR-223-3p	3718.0	1923.0	101.5
hsa-miR-223-5p	1118.0	110.0	0.0
hsa-miR-224-5p	76.0	37.5	0.0
hsa-miR-23a-3p	626.0	3618.5	687.5
hsa-miR-23a-5p	0.0	42.0	0.0
hsa-miR-23b-3p	84.0	506.0	180.0
hsa-miR-24-3p	4598.0	9687.0	924.0
hsa-miR-25-3p	5864.0	18469.0	396.5
hsa-miR-25-5p	143.0	17.5	0.0
hsa-miR-26a-5p	17892.5	5404.75	1245.5
hsa-miR-26b-5p	24291.0	2477.5	384.5
hsa-miR-27a-3p	218.0	1863.5	431.5
hsa-miR-27b-3p	174.0	1424.0	427.0
hsa-miR-28-3p	802.0	367.5	44.5
hsa-miR-28-5p	121.0	128.5	0.5
hsa-miR-29a-3p	1886.0	1189.0	147.0
hsa-miR-29b-3p	760.0	208.0	0.0
hsa-miR-29c-3p	1404.0	215.5	0.0
hsa-miR-30a-3p	649.0	52.5	12.0
hsa-miR-30a-5p	1591.0	762.0	186.5
hsa-miR-30b-3p	43.0	0.0	0.0
hsa-miR-30b-5p	33.0	88.5	0.0
hsa-miR-30c-1-3p	38.0	0.0	0.0
