"Feature","Class_0","Class_1","Class_2"
"`hsa-miR-10b-5p`",0.0126675929633317,-0.0290579897855982,0.0163903968222664
"`hsa-miR-126-3p`",0.102863361681779,-0.133536128750317,0.0306727670685375
"`hsa-miR-1306-5p`",0.0231006729056602,0.00155962706853467,-0.0246602999741948
"`hsa-miR-130b-5p`",-0.131533321722756,0.110284788299336,0.02124853342342
"`hsa-miR-142-5p`",0.159437796794573,0.0958308363702313,-0.255268633164804
"`hsa-miR-145-5p`",0.0315847909312972,0.0133527088696112,-0.0449374998009083
"`hsa-miR-21-5p`",0.623363683624382,-0.604328535567773,-0.0190351480566079
"`hsa-miR-215-5p`",-0.0381459881243654,0.0393376038522842,-0.00119161572791865
"`hsa-miR-22-3p`",0.168008732746286,0.118564184332084,-0.286572917078369
"`hsa-miR-25-3p`",0.0462007038825268,0.0266778697327519,-0.0728785736152786
"`hsa-miR-26a-5p`",0.129793949817473,-0.10287153566184,-0.0269224141556338
"`hsa-miR-30d-5p`",0.0110822721347512,0.000362374140755429,-0.0114446462755066
"`hsa-miR-320a-3p`",0.182089135667796,-0.392613413246608,0.210524277578811
"`hsa-miR-320b`",0.0048385909703996,-0.0182528870388971,0.0134142960684975
"`hsa-miR-3940-3p`",0.00262414285318735,-0.0042233233884894,0.00159918053530206
"`hsa-miR-454-5p`",-0.00434133313815882,0.00406166937706398,0.000279663761094842
"`hsa-miR-486-3p`",0.000754653636028535,0.00127794182354446,-0.002032595459573
"`hsa-miR-625-3p`",-0.00753866234085754,0.0275001067812171,-0.0199614444403596
"`hsa-miR-664a-3p`",-0.00041341872568326,0.0399371564486191,-0.0395237377229358
