Variable1,Variable2,Correlation Coefficient,p.value,p.adjusted,Method
Age,hsa-let-7a-3p,-0.06123364034834497,0.34295417622476504,0.8008729638665166,Kendall
BMI,hsa-let-7a-3p,0.030605390613741658,0.6306450568866426,0.918637639999598,Kendall
WBC,hsa-let-7a-3p,0.14393953350966257,0.023788471287750905,0.40358371977839463,Kendall
RBC,hsa-let-7a-3p,0.02251858138570647,0.7234519074365249,0.9548904429923241,Kendall
HGB,hsa-let-7a-3p,0.02296152903327332,0.7202230261297565,0.9542065658352192,Kendall
HCT,hsa-let-7a-3p,0.025367509120064295,0.690911541828917,0.9414438575900259,Kendall
PLT,hsa-let-7a-3p,0.07218022883739644,0.25663041908336864,0.7387612264844625,Kendall
NE_abs,hsa-let-7a-3p,0.12554711900769938,0.04937963252987141,0.4835414629143293,Kendall
LY_abs,hsa-let-7a-3p,0.07994909545956427,0.21565035122035114,0.7009849135960285,Kendall
MO_abs,hsa-let-7a-3p,0.177581335602971,0.007979871087069363,0.2707652810233191,Kendall
Eo_Abs,hsa-let-7a-3p,0.0758220205309662,0.27593395502667,0.7492737563634353,Kendall
Total_cholesterol,hsa-let-7a-3p,-0.1058794788582583,0.09548892608246527,0.564700459198913,Kendall
LDL,hsa-let-7a-3p,-0.05554721150479303,0.38202887605954094,0.8178379918633287,Kendall
HDL,hsa-let-7a-3p,-0.14413443663377853,0.023659277640140964,0.40238297379084187,Kendall
TG,hsa-let-7a-3p,0.0263358179660593,0.6787303302083112,0.9371319798368609,Kendall
Creatinine,hsa-let-7a-3p,0.022668436687307513,0.7233584333838126,0.9548904429923241,Kendall
ALAT,hsa-let-7a-3p,0.15169671557252198,0.017626265819473387,0.37242245081145,Kendall
ASAT,hsa-let-7a-3p,0.024485267542862642,0.7044752374277634,0.9476486818208086,Kendall
Glucose,hsa-let-7a-3p,0.012992782955145693,0.839859877254571,0.9690511017659551,Kendall
HbA1c,hsa-let-7a-3p,-0.009477304253527108,0.9071114300719585,0.9826811865095858,Kendall
Target_fibrotic,hsa-let-7a-3p,-0.06922057500360136,0.4838031745780641,0.8722104735178473,Kendall
Target_lipidic,hsa-let-7a-3p,-0.05433442984153655,0.5825811387144875,0.9033724059658849,Kendall
Target_necrotic,hsa-let-7a-3p,0.09157848724442458,0.3544002743330037,0.8072450693140639,Kendall
Target_Calcific,hsa-let-7a-3p,0.1287651556518606,0.19273858045684544,0.6831791315707995,Kendall
Age,hsa-let-7a-5p,-0.10469481789678418,0.07449309980584186,0.5338416092562829,Kendall
BMI,hsa-let-7a-5p,-0.03231035778890953,0.5766284110894602,0.9006841123367939,Kendall
WBC,hsa-let-7a-5p,-0.027689681134970296,0.6324342803343919,0.918637639999598,Kendall
RBC,hsa-let-7a-5p,0.007106742950613889,0.9022422686644636,0.9815827069173628,Kendall
HGB,hsa-let-7a-5p,-0.055019277483116094,0.34517807597030636,0.8017574011869193,Kendall
HCT,hsa-let-7a-5p,-0.0020513162694988218,0.9717881769875196,0.9938692956623455,Kendall
PLT,hsa-let-7a-5p,-0.006997931299886722,0.9037168991421769,0.9815827069173628,Kendall
NE_abs,hsa-let-7a-5p,0.012540859773151024,0.8290423698972097,0.9685801205789674,Kendall
LY_abs,hsa-let-7a-5p,-0.04365505813239393,0.4570623734616952,0.8625178680937285,Kendall
MO_abs,hsa-let-7a-5p,0.00858574648025153,0.8877777464355405,0.9799552029502906,Kendall
Eo_Abs,hsa-let-7a-5p,0.008382408615790659,0.8945545909373733,0.9814546736638099,Kendall
Total_cholesterol,hsa-let-7a-5p,0.09165641695806503,0.11243626064049056,0.5986862066908727,Kendall
LDL,hsa-let-7a-5p,0.051712152281677755,0.3707311603407265,0.8137582766341129,Kendall
HDL,hsa-let-7a-5p,0.007868566809626137,0.8919309443084487,0.9806257532955458,Kendall
TG,hsa-let-7a-5p,0.02226889391528073,0.700073589506251,0.9454565318497685,Kendall
Creatinine,hsa-let-7a-5p,-0.04465853073114338,0.4430516503584654,0.8533072847476632,Kendall
ALAT,hsa-let-7a-5p,0.03699406013866837,0.5243655226527879,0.888082055577183,Kendall
ASAT,hsa-let-7a-5p,-0.069882573442217,0.23375189537041507,0.7152745692187557,Kendall
Glucose,hsa-let-7a-5p,0.08100987285269816,0.1657861742218848,0.6500602038054134,Kendall
HbA1c,hsa-let-7a-5p,-0.12609767512654316,0.08938851358945299,0.562290485483244,Kendall
Target_fibrotic,hsa-let-7a-5p,-0.16290726817042603,0.07348595338591227,0.5338416092562829,Kendall
Target_lipidic,hsa-let-7a-5p,0.11152882205513782,0.2204527517822745,0.7080182360445729,Kendall
Target_necrotic,hsa-let-7a-5p,0.18740207751932372,0.0395594641209858,0.4564270142586239,Kendall
Target_Calcific,hsa-let-7a-5p,-0.011278195488721802,0.9013871047047689,0.9815827069173628,Kendall
Age,hsa-let-7b-3p,-0.002581425843683547,0.9656029436481341,0.9938692956623455,Kendall
BMI,hsa-let-7b-3p,-0.03182230030291042,0.5897330527749522,0.9046951598026439,Kendall
WBC,hsa-let-7b-3p,0.10379322184105687,0.07872432873529524,0.5416158839493108,Kendall
RBC,hsa-let-7b-3p,0.051810535864362045,0.3798852504490991,0.8177030015916857,Kendall
HGB,hsa-let-7b-3p,0.03807602463955351,0.5217744410161149,0.8866054130293356,Kendall
HCT,hsa-let-7b-3p,0.058040197303953114,0.326474859219551,0.7915574263757307,Kendall
PLT,hsa-let-7b-3p,-0.028386249185628078,0.630390663213457,0.918637639999598,Kendall
NE_abs,hsa-let-7b-3p,0.10514684100753244,0.07584414637196224,0.5338416092562829,Kendall
LY_abs,hsa-let-7b-3p,0.011898332742550493,0.8424481320994461,0.9690960486433804,Kendall
MO_abs,hsa-let-7b-3p,0.024311161709725186,0.6951969463774534,0.9435512167077698,Kendall
Eo_Abs,hsa-let-7b-3p,0.003288151598981612,0.9593419988509397,0.9938692956623455,Kendall
Total_cholesterol,hsa-let-7b-3p,-0.04718198227971455,0.42297202887119906,0.8420321777065951,Kendall
LDL,hsa-let-7b-3p,-0.09375296955423622,0.11153109364647333,0.5986862066908727,Kendall
HDL,hsa-let-7b-3p,-0.059715229521030366,0.31198098473666075,0.7834214447196935,Kendall
TG,hsa-let-7b-3p,0.05496373198602141,0.35114733939807047,0.8065168983355407,Kendall
Creatinine,hsa-let-7b-3p,0.07150505698682795,0.22845612167258625,0.7148391117492577,Kendall
ALAT,hsa-let-7b-3p,0.026190058270853963,0.6585145143084685,0.9258398779598442,Kendall
ASAT,hsa-let-7b-3p,-0.04925509048580269,0.41051506795361764,0.8346008819552887,Kendall
Glucose,hsa-let-7b-3p,0.03429430137117596,0.5650836645719559,0.8971838992529558,Kendall
HbA1c,hsa-let-7b-3p,0.09082513134289624,0.22868433209763037,0.7148391117492577,Kendall
Target_fibrotic,hsa-let-7b-3p,-0.1362020146793176,0.1418990949061459,0.6264570190682877,Kendall
Target_lipidic,hsa-let-7b-3p,0.07195578134001684,0.4377806658017965,0.8496571501952026,Kendall
Target_necrotic,hsa-let-7b-3p,0.13174605864068636,0.15552287585756044,0.6401494152235988,Kendall
Target_Calcific,hsa-let-7b-3p,0.03983266467036647,0.667529033789109,0.9311340592829855,Kendall
Age,hsa-let-7b-5p,-0.19308918870201056,0.0010038248118116413,0.12738220573483308,Kendall
BMI,hsa-let-7b-5p,-0.0045234500904473346,0.937697373039414,0.9896108739091464,Kendall
WBC,hsa-let-7b-5p,0.051608394021987435,0.3726780466418539,0.8138891519559575,Kendall
RBC,hsa-let-7b-5p,0.055561808522981315,0.3369033283882895,0.7988262051423539,Kendall
HGB,hsa-let-7b-5p,-0.020510144860569905,0.7249138760263006,0.9550016226349155,Kendall
HCT,hsa-let-7b-5p,0.005722092751759872,0.9214149444352701,0.9855133753525063,Kendall
PLT,hsa-let-7b-5p,0.1053996114244477,0.06846191436018648,0.5280690549977205,Kendall
NE_abs,hsa-let-7b-5p,0.07870470616253401,0.17537090806570446,0.663061249833441,Kendall
LY_abs,hsa-let-7b-5p,-0.024617513984432668,0.6749416434376552,0.9344719678389083,Kendall
MO_abs,hsa-let-7b-5p,0.03216793014600907,0.5970016037401853,0.9095764695177241,Kendall
Eo_Abs,hsa-let-7b-5p,0.030571137304648287,0.6288166139052347,0.918637639999598,Kendall
Total_cholesterol,hsa-let-7b-5p,-0.024391566998218945,0.672717354504915,0.9336443960970894,Kendall
LDL,hsa-let-7b-5p,-0.010213418849811615,0.8596750594962065,0.9731210862464865,Kendall
HDL,hsa-let-7b-5p,-0.06930806107656995,0.23142508726882577,0.7148391117492577,Kendall
TG,hsa-let-7b-5p,0.006992647847793467,0.9037202174587752,0.9815827069173628,Kendall
Creatinine,hsa-let-7b-5p,-0.026881834032338733,0.6442824445076957,0.9210254429151482,Kendall
ALAT,hsa-let-7b-5p,0.09713645030562632,0.0945991678865744,0.564700459198913,Kendall
ASAT,hsa-let-7b-5p,-0.004046408790863896,0.9450310562312583,0.9909377675726634,Kendall
Glucose,hsa-let-7b-5p,0.05770864598377692,0.3235215160086151,0.789753587814136,Kendall
HbA1c,hsa-let-7b-5p,-0.1634973863865199,0.02763460426640436,0.41399782437763694,Kendall
Target_fibrotic,hsa-let-7b-5p,-0.20175438596491224,0.026650481805646425,0.4107609930764889,Kendall
Target_lipidic,hsa-let-7b-5p,0.18045112781954883,0.04741788592636958,0.4790159854382111,Kendall
Target_necrotic,hsa-let-7b-5p,0.21372611516417855,0.018902506215692932,0.38226822718358,Kendall
Target_Calcific,hsa-let-7b-5p,-0.025062656641604005,0.7830443142741422,0.964626193016168,Kendall
Age,hsa-let-7c-5p,0.12569942086040234,0.03224133946102384,0.4346428037728565,Kendall
BMI,hsa-let-7c-5p,-0.020678628984902102,0.720850435000455,0.9542065658352192,Kendall
WBC,hsa-let-7c-5p,-0.04018774732818646,0.4875622424007148,0.8727465503264354,Kendall
RBC,hsa-let-7c-5p,-0.06869851518926759,0.23508961737471293,0.7187293761549146,Kendall
HGB,hsa-let-7c-5p,-0.04959331323428808,0.3948313005996913,0.8256217360445275,Kendall
HCT,hsa-let-7c-5p,-0.06488637252467326,0.26328040743202,0.7422846695617092,Kendall
PLT,hsa-let-7c-5p,0.04833955620998674,0.4033770384074206,0.8304657298924119,Kendall
NE_abs,hsa-let-7c-5p,-0.03762257931945307,0.5171209280812366,0.8855768160498126,Kendall
LY_abs,hsa-let-7c-5p,0.08479365927971252,0.14859388150059755,0.6320736169752766,Kendall
MO_abs,hsa-let-7c-5p,0.05964231888281396,0.3269426361845171,0.7915574263757307,Kendall
Eo_Abs,hsa-let-7c-5p,0.11069710201441194,0.08005776769117105,0.5445556145270908,Kendall
Total_cholesterol,hsa-let-7c-5p,0.08929247654414073,0.12200852141597607,0.6082025502213692,Kendall
LDL,hsa-let-7c-5p,0.04698172670913343,0.4160896674361425,0.8373031374940365,Kendall
HDL,hsa-let-7c-5p,0.061762860026243524,0.28623472575292025,0.7588017257096987,Kendall
TG,hsa-let-7c-5p,0.06357930581609136,0.27140435032214677,0.745022222750514,Kendall
Creatinine,hsa-let-7c-5p,-0.03837165019132222,0.5098524679929206,0.8825768563804941,Kendall
ALAT,hsa-let-7c-5p,0.015360106841201487,0.7915241185880943,0.964626193016168,Kendall
ASAT,hsa-let-7c-5p,-0.004483858389876209,0.93909945767781,0.9896108739091464,Kendall
Glucose,hsa-let-7c-5p,0.0010888423770523948,0.9851384213216945,0.9976025375892549,Kendall
HbA1c,hsa-let-7c-5p,0.08920336537007963,0.22950397563690178,0.7148391117492577,Kendall
