,Group 0.0,Group 1.0,Group 2.0,Stat Group 1.0 vs Group 0.0,p-Value Group 1.0 vs Group 0.0,Stat Group 2.0 vs Group 0.0,p-Value Group 2.0 vs Group 0.0,Stat Group 1.0 vs Group 2.0,p-Value Group 1.0 vs Group 2.0
Age,52.14 ± 7.09,49.50 (IQR: 6.00),65.89 ± 5.15,U=778.50,8.81e-03,t=8.35,2.35e-11,U=15.00,9.01e-15
BMI,33.28 ± 4.74,29.93 ± 4.60,29.39 ± 4.90,t=-1.95,5.40e-02,t=-1.98,5.57e-02,t=0.51,6.08e-01
WBC,6.12 (IQR: 1.62),7.70 (IQR: 2.73),6.90 ± 1.86,U=1607.00,2.20e-03,U=460.00,3.93e-01,U=1379.00,6.99e-02
RBC,4.74 ± 0.57,4.82 ± 0.41,4.65 ± 0.39,t=0.78,4.40e-01,t=-0.73,4.71e-01,t=1.93,5.65e-02
HGB,144.62 ± 13.18,147.59 ± 12.13,141.86 ± 11.83,t=1.10,2.73e-01,t=-0.83,4.09e-01,t=2.17,3.26e-02
HCT,43.84 ± 4.04,43.26 ± 3.43,41.87 ± 2.77,t=-0.60,5.51e-01,t=-1.92,6.14e-02,t=1.94,5.51e-02
PLT,258.10 ± 52.49,251.68 ± 58.57,227.25 ± 52.12,t=-0.52,6.04e-01,t=-2.23,3.01e-02,t=1.95,5.36e-02
NE_abs,3.43 (IQR: 1.05),4.45 (IQR: 2.43),4.04 ± 1.28,U=867.00,7.73e-03,U=273.50,2.32e-01,U=1310.50,7.13e-02
LY_abs,2.15 ± 0.65,2.00 (IQR: 0.93),1.95 (IQR: 1.07),U=611.50,9.75e-01,U=207.50,6.96e-01,U=1104.00,7.72e-01
MO_abs,0.54 ± 0.15,0.60 (IQR: 0.20),0.50 ± 0.19,U=773.50,8.58e-02,t=-0.70,4.89e-01,U=1446.50,4.59e-03
Eo_Abs,0.17 (IQR: 0.23),0.20 (IQR: 0.10),0.10 (IQR: 0.10),U=499.00,2.45e-01,U=166.00,1.42e-01,U=1166.00,4.34e-01
Ba_abs,0.35 (IQR: 0.47),0.00 (IQR: 0.10),0.00 (IQR: 0.04),U=277.00,1.95e-04,U=85.50,2.22e-04,U=1234.00,1.50e-01
Total_cholesterol,5.23 ± 1.30,3.66 (IQR: 1.38),3.88 (IQR: 1.09),U=485.50,3.80e-06,U=212.50,2.06e-03,U=866.00,7.55e-02
LDL,3.25 ± 1.28,2.04 (IQR: 1.48),2.17 (IQR: 1.20),U=620.50,2.19e-04,U=240.00,8.24e-03,U=1013.50,4.57e-01
HDL,1.33 (IQR: 0.38),1.07 ± 0.30,1.31 (IQR: 0.41),U=508.50,1.84e-05,U=300.00,1.34e-01,U=675.50,1.85e-03
TG,1.36 (IQR: 1.15),1.66 (IQR: 1.17),1.58 (IQR: 1.21),U=1221.50,3.12e-01,U=438.00,3.16e-01,U=1161.50,7.74e-01
Creatinine,77.25 ± 15.46,79.40 ± 13.65,80.61 ± 13.24,t=0.70,4.84e-01,t=0.88,3.83e-01,t=-0.41,6.86e-01
ALAT,30.00 (IQR: 16.00),45.00 (IQR: 23.00),25.00 (IQR: 15.00),U=1675.50,2.41e-04,U=358.00,4.48e-01,U=1654.00,1.04e-04
ASAT,23.00 (IQR: 8.00),31.00 (IQR: 14.75),27.00 (IQR: 10.00),U=1246.00,9.78e-03,U=361.00,6.73e-01,U=1272.50,3.60e-02
Glucose,5.62 ± 0.72,5.30 (IQR: 0.80),5.25 ± 0.73,U=815.50,1.17e-01,t=-1.88,6.57e-02,U=1246.00,3.22e-01
HbA1c,NaN,5.77 ± 0.32,5.90 (IQR: 0.30),Insufficient data,Insufficient data,Insufficient data,Insufficient data,U=604.00,1.26e-02
Target_fibrotic,NaN,68.81 (IQR: 22.07),69.25 ± 11.26,Insufficient data,Insufficient data,Insufficient data,Insufficient data,U=302.00,2.59e-01
Target_lipidic,NaN,11.85 (IQR: 6.68),10.53 ± 4.31,Insufficient data,Insufficient data,Insufficient data,Insufficient data,U=433.00,2.96e-01
Target_necrotic,NaN,16.90 (IQR: 15.89),17.72 ± 7.72,Insufficient data,Insufficient data,Insufficient data,Insufficient data,U=438.50,2.56e-01
Target_Calcific,NaN,1.82 (IQR: 2.36),2.12 (IQR: 1.54),Insufficient data,Insufficient data,Insufficient data,Insufficient data,U=322.00,4.27e-01
